ID,QTY,Wine_Description,VINTAGE,SIZE
"1Albino Rocca Barbaresco Vigneto Brich Ronchi, Barbaresco DOCG, Italy1997750ml",1,Albino Rocca Barbaresco Vigneto Brich Ronchi,1997,750ml
"3Aloft Cabernet Sauvignon, Howell Mountain, USA2008750ml",3,Aloft Cabernet Sauvignon,2008,750ml
"1Altamura Cabernet Sauvignon, Napa Valley, USA2011750ml",1,Altamura Cabernet Sauvignon,2011,750ml
"14Altesino Montosoli, Brunello di Montalcino DOCG, Italy2010750ml",14,Altesino Montosoli,2010,750ml
"7Altesino Montosoli, Brunello di Montalcino DOCG, ItalyNV750ml",7,Altesino Montosoli,NV,750ml
"1Amuse Bouche 'Premiere Napa Valley' Merlot, Napa Valley, USA2004750ml",1,Amuse Bouche 'Premiere Napa Valley' Merlot,2004,750ml
"1Amuse Bouche 'Premiere Napa Valley' Proprietary Red, Napa Valley, USA2004750ml",1,Amuse Bouche 'Premiere Napa Valley' Proprietary Red,2004,750ml
"3Anderson's Conn Valley Vineyards 'Eloge', Napa Valley, USA2008750ml",3,Anderson's Conn Valley Vineyards 'Eloge',2008,750ml
"3Araujo Estate Altagracia Cabernet Sauvignon, Napa Valley, USA2014750ml",3,Araujo Estate Altagracia Cabernet Sauvignon,2014,750ml
"1Araujo Estate Altagracia Cabernet Sauvignon, Napa Valley, USA2010750ml",1,Araujo Estate Altagracia Cabernet Sauvignon,2010,750ml
"6Araujo Estate Altagracia Cabernet Sauvignon, Napa Valley, USA2013750ml",6,Araujo Estate Altagracia Cabernet Sauvignon,2013,750ml
"2Araujo Estate Altagracia Red, Napa Valley, USA2010750ml",2,Araujo Estate Altagracia Red,2010,750ml
"1Araujo Estate Altagracia Red, Napa Valley, USA2007750ml",1,Araujo Estate Altagracia Red,2007,750ml
"2Araujo Estate Altagracia Red, Napa Valley, USA2012750ml",2,Araujo Estate Altagracia Red,2012,750ml
"1Araujo Estate Eisele Vineyard Cabernet Sauvignon, Napa Valley, USA2007750ml",1,Araujo Estate Eisele Vineyard Cabernet Sauvignon,2007,750ml
